artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
,Logged Out,,,42,,,paid,,GET,Home,,3146,,200,1513738847284,,""
,Logged Out,,,43,,,paid,,GET,About,,3146,,200,1513738848284,,""
the bird and the bee,Logged In,Noel,M,10,Doyle,281.23383,paid,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1509602414284,1496,Ray Gun,200,1513738888284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1497
Beirut,Logged In,Enrique,M,13,Miller,185.15546,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,My Night With the Prostitute From Marseille,200,1513738931284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
Jack Johnson,Logged In,Jazmyne,F,1,Rice,212.68853,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1507549461284,2448,Breakdown,200,1513738946284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,2449
Jack Johnson,Logged In,Andrew,M,41,Randall,240.06485,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,Taylor,200,1513738974284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Britt Nicole,Logged In,Damont,M,36,Hardy,229.8771,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1502341283284,1208,Walk On The Water,200,1513738988284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1209
Ron Carter,Logged In,Austin,M,0,Arias,497.13587,free,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1506729197284,5192,I CAN'T GET STARTED,200,1513738989284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1872
Jupiter Rising,Logged In,Miguel,M,1,Ho,239.49016,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1507339511284,5649,Home (Album),200,1513738995284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2232
LCD Soundsystem,Logged In,Dreden,M,1,Rodriguez,222.74567,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Thrills,200,1513739064284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Three Drives,Logged In,Jaiden,M,1,Wilson,223.13751,free,"New Orleans-Metairie, LA",PUT,NextSong,1509621845284,4513,Greece 2000,200,1513739099284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),2910
,Logged In,Dreden,M,2,Rodriguez,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Upgrade,1513620661284,5846,,200,1513739103284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
,Logged In,Dreden,M,3,Rodriguez,,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,Submit Upgrade,1513620661284,5846,,307,1513739104284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Hollywood Undead,Logged In,Zoie,F,108,Wright,196.41424,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,Young,200,1513739107284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Of Mice And Men,Logged In,Enrique,M,14,Miller,206.57587,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,THIS ONE'S FOR YOU,200,1513739116284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
,Logged In,Dreden,M,4,Rodriguez,,paid,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1513620661284,5846,,200,1513739156284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Mayday Parade,Logged In,Noel,M,11,Doyle,237.5571,paid,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1509602414284,1496,Your Song,200,1513739169284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1497
BarÃÂ£o Vermelho,Logged In,Emory,F,0,Wyatt,195.91791,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1494795622284,2934,Pro Dia Nascer Feliz,200,1513739213284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2935
Bride,Logged In,Andrew,M,42,Randall,263.00036,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,Rattlesnake                (Snakes In The Playground Album Version),200,1513739214284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Coldplay,Logged In,Damont,M,37,Hardy,307.51302,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1502341283284,1208,Clocks,200,1513739217284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1209
Sheena Easton,Logged In,Angel,M,0,Walker,239.62077,free,"Spearfish, SD",PUT,NextSong,1475838591284,5801,Strut (1993 Digital Remaster),200,1513739244284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",541
Alejandro Fernandez,Logged In,Dreden,M,5,Rodriguez,266.4224,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Yo Naci Para Amarte,200,1513739286284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Travie McCoy,Logged In,Zoie,F,109,Wright,211.12118,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,Billionaire [feat. Bruno Mars]  (Explicit Album Version),200,1513739303284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
The Black Keys,Logged In,Jaiden,M,2,Wilson,216.5024,free,"New Orleans-Metairie, LA",PUT,NextSong,1509621845284,4513,The Go Getter,200,1513739322284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),2910
Alicia Keys,Logged In,Enrique,M,15,Miller,216.47628,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,Empire State Of Mind (Part II) Broken Down,200,1513739322284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
The Verve,Logged In,Bryleigh,F,0,Diaz,360.25424,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1507095263284,5709,Bitter Sweet Symphony,200,1513739364284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,526
,Logged In,Enrique,M,16,Miller,,paid,"Chicago-Naperville-Elgin, IL-IN-WI",GET,Settings,1500182660284,5641,,200,1513739371284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
The Strokes,Logged In,Rashaan,M,0,Allen,219.81995,free,"Seattle-Tacoma-Bellevue, WA",PUT,NextSong,1496186310284,5912,Reptilia,200,1513739372284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2593
,Logged In,Enrique,M,17,Miller,,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,Save Settings,1500182660284,5641,,307,1513739372284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
Chris Brown,Logged In,Noel,M,12,Doyle,252.1073,paid,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1509602414284,1496,With You,200,1513739406284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1497
The New Pornographers,Logged In,Emory,F,1,Wyatt,206.81098,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1494795622284,2934,The Laws Have Changed,200,1513739408284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2935
,Logged In,Damont,M,38,Hardy,,paid,"New York-Newark-Jersey City, NY-NJ-PA",GET,Help,1502341283284,1208,,200,1513739408284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1209
,Logged In,Enrique,M,18,Miller,,paid,"Chicago-Naperville-Elgin, IL-IN-WI",GET,Home,1500182660284,5641,,200,1513739431284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
Dog Fashion Disco,Logged In,Andrew,M,43,Randall,268.01587,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,Sweet Insanity,200,1513739477284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Phoenix,Logged In,Angel,M,1,Walker,198.03383,free,"Spearfish, SD",PUT,NextSong,1475838591284,5801,Too Young,200,1513739483284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",541
All-4-One,Logged In,Genesis,F,0,Davis,259.29098,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1498152687284,5461,I Swear (LP Version),200,1513739500284,"\"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36\"",2590
,Logged In,Ahmad,M,0,Oconnor,,free,"Knoxville, TN",GET,Home,1467993386284,1294,,200,1513739508284,"\"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36\"",1295
Outkast Featuring Killer Mike,Logged In,Zoie,F,110,Wright,295.33995,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,The Whole World,200,1513739514284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Avril Lavigne,Logged In,Jaiden,M,3,Wilson,240.40444,free,"New Orleans-Metairie, LA",PUT,NextSong,1509621845284,4513,When You're Gone,200,1513739538284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),2910
Rilo Kiley,Logged In,Enrique,M,19,Miller,234.03057,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,The Absence Of God (Album Version),200,1513739538284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
The Notorious B.I.G.,Logged In,Dreden,M,6,Rodriguez,204.66893,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Ten Commandments (Amended Version),200,1513739552284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Covenant,Logged In,Ahmad,M,1,Oconnor,300.19873,free,"Knoxville, TN",PUT,NextSong,1467993386284,1294,XRDS,200,1513739584284,"\"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36\"",1295
Calle 13,Logged In,Emory,F,2,Wyatt,211.06893,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1494795622284,2934,Pi-di-di-di,200,1513739614284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2935
Dmitri Shostakovich,Logged In,Noel,M,13,Doyle,444.83873,paid,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1509602414284,1496,Twenty-Four Preludes & Fugues Op.87 (1950-1) : No.4 In E Minor (Andante - Adagio),200,1513739658284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1497
,Logged In,Cailey,F,0,Sullivan,,free,"Prescott, AZ",GET,Home,1491578478284,5668,,200,1513739665284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,1780
Ron Carter,Logged In,Bryleigh,F,1,Diaz,497.13587,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1507095263284,5709,I CAN'T GET STARTED,200,1513739724284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,526
Bodyrox,Logged In,Andrew,M,44,Randall,490.78812,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,Yeah Yeah,200,1513739745284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Lifehouse,Logged In,Dreden,M,7,Rodriguez,319.52934,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Into The Sun,200,1513739756284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Hot Chip,Logged In,Enrique,M,20,Miller,312.2673,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,Shake A Fist,200,1513739772284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
August Burns Red,Logged In,Zoie,F,111,Wright,251.71546,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,The Truth Of A Liar,200,1513739809284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Jason Mraz,Logged In,Emory,F,3,Wyatt,198.84363,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1494795622284,2934,No Stopping Us (LP Version),200,1513739825284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2935
KMC Feat. Dhany,Logged In,Sophia,F,0,Chambers,483.81342,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1507265436284,4860,I Feel So Fine,200,1513739834284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",172
Blake Shelton,Logged In,Venice,F,0,Vasquez,198.79138,free,"Dallas-Fort Worth-Arlington, TX",PUT,NextSong,1499183392284,5439,She Doesn't Know She's Got It (Album Version),200,1513739885284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1629
,Logged In,Riley,F,0,Powell,,free,"Chicago-Naperville-Elgin, IL-IN-WI",GET,Home,1508145378284,5896,,200,1513739977284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",804
,Logged In,Venice,F,1,Vasquez,,free,"Dallas-Fort Worth-Arlington, TX",GET,Settings,1499183392284,5439,,200,1513739977284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1629
Nickelback,Logged In,Chase,M,0,Ponce,274.65098,free,"Rochester, MN",PUT,NextSong,1479998613284,5450,This Afternoon (Album Version),200,1513739983284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1635
,Logged In,Venice,F,2,Vasquez,,free,"Dallas-Fort Worth-Arlington, TX",GET,Home,1499183392284,5439,,200,1513740012284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1629
dEUS,Logged In,Emory,F,4,Wyatt,251.402,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1494795622284,2934,Favourite Game,200,1513740023284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2935
The Copyrights,Logged In,Dreden,M,8,Rodriguez,123.19302,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Pulse Check,200,1513740075284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
The Clash,Logged In,Enrique,M,21,Miller,186.06975,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,I'm Not Down,200,1513740084284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
Chambao,Logged In,Noel,M,14,Doyle,271.5424,paid,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1509602414284,1496,Ulere,200,1513740102284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1497
Sam Cooke,Logged In,Deonte,M,0,Black,122.04363,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1511936788284,3745,Ain't Misbehavin,200,1513740124284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",756
Usher Featuring Lil' Jon & Ludacris,Logged In,Dreden,M,9,Rodriguez,250.38322,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Yeah!,200,1513740198284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Cake,Logged In,Andrew,M,45,Randall,164.25751,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,Never There,200,1513740235284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Angel Romero/London Philharmonic Orchestra/JÃÂ©sus LÃÂ³pez-Cobos,Logged In,Chase,M,1,Ponce,274.31138,free,"Rochester, MN",PUT,NextSong,1479998613284,5450,Concerto for guitar & small orchestra: Third movement: Allegretto non troppo,200,1513740257284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1635
Gigi D'agostino,Logged In,Enrique,M,22,Miller,206.34077,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,La Passion,200,1513740270284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
Atomic Kitten,Logged In,Noel,M,15,Doyle,197.32853,paid,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1509602414284,1496,Eternal Flame (Single Version),200,1513740373284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1497
Toby Keith,Logged In,Andrew,M,46,Randall,263.31383,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,American Soldier,200,1513740399284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Slipknot,Logged In,Dreden,M,10,Rodriguez,259.44771,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Eyeless (Live version) (Album Version),200,1513740448284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Epica,Logged In,Ashton,M,0,Nelson,836.5971,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,The Divine Conspiracy,200,1513740455284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
Massive Attack,Logged In,Trevor,M,0,Vargas,487.44444,free,"Canton-Massillon, OH",PUT,NextSong,1511298001284,2365,Paradise Circus (Gui Boratto Remix),200,1513740463284,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2366
Five Iron Frenzy,Logged In,Enrique,M,23,Miller,236.09424,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,Canada,200,1513740476284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
,Logged In,Zelda,F,0,Walker,,free,"San Antonio-New Braunfels, TX",GET,Home,1502690747284,4654,,200,1513740485284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,1471
,Logged In,Zelda,F,1,Walker,,free,"San Antonio-New Braunfels, TX",GET,Settings,1502690747284,4654,,200,1513740492284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,1471
,Logged In,Zelda,F,2,Walker,,free,"San Antonio-New Braunfels, TX",GET,Home,1502690747284,4654,,200,1513740508284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,1471
Florence + The Machine,Logged In,Chase,M,2,Ponce,258.55955,free,"Rochester, MN",PUT,NextSong,1479998613284,5450,Cosmic Love,200,1513740531284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1635
,Logged In,Averi,F,0,Fitzpatrick,,paid,"Houston-The Woodlands-Sugar Land, TX",GET,Home,1505171267284,5418,,200,1513740559284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",523
Damien Rice,Logged In,Noel,M,16,Doyle,357.56363,paid,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1509602414284,1496,Me_ My Yoke And I,200,1513740570284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1497
,Logged In,Emireth,F,0,Rodriguez,,free,"Killeen-Temple, TX",GET,Home,1481208032284,445,,200,1513740621284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",446
Bryan Adams,Logged In,Emireth,F,1,Rodriguez,312.47628,free,"Killeen-Temple, TX",PUT,NextSong,1481208032284,445,Cuts Like A Knife,200,1513740631284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",446
La Roux,Logged In,Averi,F,1,Fitzpatrick,205.60934,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1505171267284,5418,Bulletproof,200,1513740641284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",523
John Prine,Logged In,Andrew,M,47,Randall,208.84853,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,All the Best,200,1513740662284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Adam Lambert,Logged In,Dreden,M,11,Rodriguez,227.39546,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Whataya Want From Me,200,1513740707284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Jill Scott,Logged In,Enrique,M,24,Miller,205.68771,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5641,I Am Not Afraid,200,1513740712284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
Tub Ring,Logged In,Chase,M,3,Ponce,233.69098,free,"Rochester, MN",PUT,NextSong,1479998613284,5450,Invalid,200,1513740789284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1635
Imagination,Logged In,Averi,F,2,Fitzpatrick,206.15791,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1505171267284,5418,Music And Lights,200,1513740846284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",523
Chet Baker,Logged In,Andrew,M,48,Randall,441.96526,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,Fine And Dandy,200,1513740870284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
,Logged In,Anthony,M,0,Wagner,,paid,"Olympia-Tumwater, WA",GET,Home,1513519004284,1064,,200,1513740882284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1065
